Name;Categories;Price tax excluded;Tax rules ID;Quantity;Description;Short description;Image URLs;Active
Knits To Wear: Effortless Patterns KutovaKika Veronika Lindberg;Włóczki;189.00;1;10;Opis produktu Knits To Wear: Effortless Patterns KutovaKika Veronika Lindberg.;Krótki opis Knits To Wear: Effortless Patterns KutovaKika Veronika Lindberg.;https://miedzydrutami.pl/wp-content/uploads/2024/11/KutovaKika-KnitstoWear_eng-370x444.webp;1
Knit This KutovaKika Veronika Lindberg;Włóczki;159.00;1;10;Opis produktu Knit This KutovaKika Veronika Lindberg.;Krótki opis Knit This KutovaKika Veronika Lindberg.;https://miedzydrutami.pl/wp-content/uploads/2023/11/ksiazka-knit-this-370x444.webp;1
Knitting Life 3 Isager;Włóczki;199.00;1;10;Opis produktu Knitting Life 3 Isager.;Krótki opis Knitting Life 3 Isager.;https://miedzydrutami.pl/wp-content/uploads/2024/11/Knitting-Life-370x444.jpg;1
Peer Winter Sweater zestaw wzór z włóczką;Włóczki;278.90;1;10;Opis produktu Peer Winter Sweater zestaw wzór z włóczką.;Krótki opis Peer Winter Sweater zestaw wzór z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/11/Peer-winter-splotka-370x444.jpg;1
Tibetan Pascuali;Włóczki;82.00;1;10;Opis produktu Tibetan Pascuali.;Krótki opis Tibetan Pascuali.;https://miedzydrutami.pl/wp-content/uploads/2024/05/Pascuali-Tibetan-101-370x444.jpg;1
Milano Sweater wzór na druty z włóczką;Włóczki;234.00;1;10;Opis produktu Milano Sweater wzór na druty z włóczką.;Krótki opis Milano Sweater wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/11/Pascuali-Milano-Sweater-Sayama-1-370x444.webp;1
Christmas Tree Mittens 24-05 zestaw wzór na druty z włóczką;Włóczki;54.80;1;10;Opis produktu Christmas Tree Mittens 24-05 zestaw wzór na druty z włóczką.;Krótki opis Christmas Tree Mittens 24-05 zestaw wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/11/Sandnes-Garn-24-5christmas-mittens-370x444.webp;1
Markery Zooni KnitPro 7 szt.;Włóczki;28.00;1;10;Opis produktu Markery Zooni KnitPro 7 szt..;Krótki opis Markery Zooni KnitPro 7 szt..;https://miedzydrutami.pl/wp-content/uploads/2024/11/KnitPro-Zooni-Stitch-Markers-dzwonek-370x444.webp;1
PetiteKnit Cross Sweater Junior wzór dziewiarski;Włóczki;35.00;1;10;Opis produktu PetiteKnit Cross Sweater Junior wzór dziewiarski.;Krótki opis PetiteKnit Cross Sweater Junior wzór dziewiarski.;https://miedzydrutami.pl/wp-content/uploads/2024/11/PetiteKnit-Cross-Sweater-Junior-1-370x444.jpg;1
PetiteKnit Cross Sweater wzór dziewiarski;Włóczki;35.00;1;10;Opis produktu PetiteKnit Cross Sweater wzór dziewiarski.;Krótki opis PetiteKnit Cross Sweater wzór dziewiarski.;https://miedzydrutami.pl/wp-content/uploads/2024/11/PetiteKnit-Cross-Sweater-370x444.jpg;1
PetiteKnit Chestnut Sweater wzór dziewiarski;Włóczki;35.00;1;10;Opis produktu PetiteKnit Chestnut Sweater wzór dziewiarski.;Krótki opis PetiteKnit Chestnut Sweater wzór dziewiarski.;https://miedzydrutami.pl/wp-content/uploads/2024/11/PetiteKnit-Chestnut-Sweater-1-370x444.jpg;1
PetiteKnit Weekend Sweater wzór dziewiarski;Włóczki;35.00;1;10;Opis produktu PetiteKnit Weekend Sweater wzór dziewiarski.;Krótki opis PetiteKnit Weekend Sweater wzór dziewiarski.;https://miedzydrutami.pl/wp-content/uploads/2024/11/PetiteKnit-Weekend-Sweater-370x444.webp;1
Tibetan Pascuali wzornik kolorów;Włóczki;9.90;1;10;Opis produktu Tibetan Pascuali wzornik kolorów.;Krótki opis Tibetan Pascuali wzornik kolorów.;https://miedzydrutami.pl/wp-content/uploads/2024/11/Pascuali-Tibetan-karta-kolorow-370x444.webp;1
Demeter Beanie zestaw wzór na druty z włóczką;Włóczki;248.00;1;10;Opis produktu Demeter Beanie zestaw wzór na druty z włóczką.;Krótki opis Demeter Beanie zestaw wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/11/Splotka-Demeter-Beanie-1-370x444.jpg;1
Isager Eco Melange;Włóczki;37.50;1;10;Opis produktu Isager Eco Melange.;Krótki opis Isager Eco Melange.;https://miedzydrutami.pl/wp-content/uploads/2024/11/Isager-Melange-6M-370x444.jpg;1
Olejek przeciwko molom 10 ml;Włóczki;79.00;1;10;Opis produktu Olejek przeciwko molom 10 ml.;Krótki opis Olejek przeciwko molom 10 ml.;https://miedzydrutami.pl/wp-content/uploads/2024/10/Pascuali-Olejek-na-mole-370x444.jpg;1
PetiteKnit Dagmar Sweater wzór dziewiarski;Włóczki;35.00;1;10;Opis produktu PetiteKnit Dagmar Sweater wzór dziewiarski.;Krótki opis PetiteKnit Dagmar Sweater wzór dziewiarski.;https://miedzydrutami.pl/wp-content/uploads/2024/10/petiteknit-dagmar-sweater-370x444.jpg;1
Domino Vest wzór na druty z włóczką;Włóczki;283.00;1;10;Opis produktu Domino Vest wzór na druty z włóczką.;Krótki opis Domino Vest wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/10/Domino-Vest-Splotka-okladka1-370x444.jpg;1
Podeszwy Botties;Włóczki;85.00;1;10;Opis produktu Podeszwy Botties.;Krótki opis Podeszwy Botties.;https://miedzydrutami.pl/wp-content/uploads/2024/08/Podeszwy-Botties_Soles_XS-370x444.webp;1
Harvey Sweater Man 2412-07 wzór na druty z włóczką;Włóczki;307.60;1;10;Opis produktu Harvey Sweater Man 2412-07 wzór na druty z włóczką.;Krótki opis Harvey Sweater Man 2412-07 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/10/Harvey-Swetaer-Man-2412-07-370x444.webp;1
KnitPro Oasis szydełka wymienne;Włóczki;13.50;1;10;Opis produktu KnitPro Oasis szydełka wymienne.;Krótki opis KnitPro Oasis szydełka wymienne.;https://miedzydrutami.pl/wp-content/uploads/2024/10/KnitPro-Oasis-szydelko-hak-370x444.jpg;1
KnitPro Oasis rączka do szydełka;Włóczki;40.00;1;10;Opis produktu KnitPro Oasis rączka do szydełka.;Krótki opis KnitPro Oasis rączka do szydełka.;https://miedzydrutami.pl/wp-content/uploads/2024/10/KnitPro-Oasis-raczka-drewniana-370x444.jpg;1
Matthew Sweater Man 2412-04 wzór na druty z włóczką;Włóczki;328.50;1;10;Opis produktu Matthew Sweater Man 2412-04 wzór na druty z włóczką.;Krótki opis Matthew Sweater Man 2412-04 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/10/Matthew-Sweater-Man-2412-04-370x444.webp;1
Suave Pascuali OUTLET;Włóczki;36.00;1;10;Opis produktu Suave Pascuali OUTLET.;Krótki opis Suave Pascuali OUTLET.;https://miedzydrutami.pl/wp-content/uploads/2023/02/Pascuali-Suave-wloczka-bawelna-organiczna-kolor-58-370x444.jpg;1
Zestaw szydełek wymiennych KnitPro Oasis Starter;Włóczki;228.00;1;10;Opis produktu Zestaw szydełek wymiennych KnitPro Oasis Starter.;Krótki opis Zestaw szydełek wymiennych KnitPro Oasis Starter.;https://miedzydrutami.pl/wp-content/uploads/2024/10/KnitPro-Oasis-Starter-Set-370x444.jpg;1
PetiteKnit Little Esther Jacket wzór dziewiarski;Włóczki;35.00;1;10;Opis produktu PetiteKnit Little Esther Jacket wzór dziewiarski.;Krótki opis PetiteKnit Little Esther Jacket wzór dziewiarski.;https://miedzydrutami.pl/wp-content/uploads/2024/10/PetiteKnit-Little-Esther-Jacket-370x444.webp;1
PetiteKnit Holger Shirt wzór dziewiarski;Włóczki;35.00;1;10;Opis produktu PetiteKnit Holger Shirt wzór dziewiarski.;Krótki opis PetiteKnit Holger Shirt wzór dziewiarski.;https://miedzydrutami.pl/wp-content/uploads/2024/10/PetiteKnit-Holger-Shirt-1-370x444.jpg;1
PetiteKnit Christmas Stocking wzór dziewiarski;Włóczki;35.00;1;10;Opis produktu PetiteKnit Christmas Stocking wzór dziewiarski.;Krótki opis PetiteKnit Christmas Stocking wzór dziewiarski.;https://miedzydrutami.pl/wp-content/uploads/2024/10/PtiteKnit-Christmas-Stocking-370x444.webp;1
Brendan Sweater Man 2412-05 wzór z włóczką;Włóczki;227.20;1;10;Opis produktu Brendan Sweater Man 2412-05 wzór z włóczką.;Krótki opis Brendan Sweater Man 2412-05 wzór z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/10/Brendan-Sweater-Man-2412-05-370x444.webp;1
Brendan Sweater Man Tweed 2412-08 wzór na druty z włóczką;Włóczki;432.20;1;10;Opis produktu Brendan Sweater Man Tweed 2412-08 wzór na druty z włóczką.;Krótki opis Brendan Sweater Man Tweed 2412-08 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/10/Brendan-Sweater-Man-2412-08-370x444.webp;1
William Sweater Man 2412-01 wzór na druty z włóczką;Włóczki;338.00;1;10;Opis produktu William Sweater Man 2412-01 wzór na druty z włóczką.;Krótki opis William Sweater Man 2412-01 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/10/William-Sweater-Man-2412-01-370x444.webp;1
Świąteczny sweter 24-04 wzór z włóczką;Włóczki;265.80;1;10;Opis produktu Świąteczny sweter 24-04 wzór z włóczką.;Krótki opis Świąteczny sweter 24-04 wzór z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/10/Sweter-Swiateczny-24-04-2-370x444.webp;1
Dave Sweater Man 2412-02 wzór na druty z włóczką;Włóczki;488.00;1;10;Opis produktu Dave Sweater Man 2412-02 wzór na druty z włóczką.;Krótki opis Dave Sweater Man 2412-02 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/10/Dave-Sweater-Man-2412-02-370x444.webp;1
Charlie Beanie 2412-03 wzór na druty z włóczką;Włóczki;143.60;1;10;Opis produktu Charlie Beanie 2412-03 wzór na druty z włóczką.;Krótki opis Charlie Beanie 2412-03 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/10/Charlie-Beanie-2412-03-370x444.webp;1
Hipster Beanie 2412-06 wzór na druty z włóczką;Włóczki;112.70;1;10;Opis produktu Hipster Beanie 2412-06 wzór na druty z włóczką.;Krótki opis Hipster Beanie 2412-06 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/10/Hipster-Beanie-2412-06-370x444.webp;1
PetiteKnit Nora Neck wzór na druty;Włóczki;35.00;1;10;Opis produktu PetiteKnit Nora Neck wzór na druty.;Krótki opis PetiteKnit Nora Neck wzór na druty.;https://miedzydrutami.pl/wp-content/uploads/2024/10/PetiteKnit-Nora-Neck-370x444.jpg;1
PetiteKnit Dagmar Jacket wzór na druty;Włóczki;35.00;1;10;Opis produktu PetiteKnit Dagmar Jacket wzór na druty.;Krótki opis PetiteKnit Dagmar Jacket wzór na druty.;https://miedzydrutami.pl/wp-content/uploads/2024/10/PetiteKnit-Dagmar-Jacket-370x444.jpg;1
PetiteKnit Esther Vest wzór na druty;Włóczki;35.00;1;10;Opis produktu PetiteKnit Esther Vest wzór na druty.;Krótki opis PetiteKnit Esther Vest wzór na druty.;https://miedzydrutami.pl/wp-content/uploads/2024/10/PetiteKnit-Esther-Vest-370x444.jpg;1
Zestaw szydełek wymiennych KnitPro Oasis Chunky;Włóczki;228.00;1;10;Opis produktu Zestaw szydełek wymiennych KnitPro Oasis Chunky.;Krótki opis Zestaw szydełek wymiennych KnitPro Oasis Chunky.;https://miedzydrutami.pl/wp-content/uploads/2024/09/Knit-Pro-Oasis-Chunky-Set-3-370x444.jpg;1
Zestaw drutów KnitPro Dreamz Deluxe;Włóczki;415.00;1;10;Opis produktu Zestaw drutów KnitPro Dreamz Deluxe.;Krótki opis Zestaw drutów KnitPro Dreamz Deluxe.;https://miedzydrutami.pl/wp-content/uploads/2024/09/KnitPro-Dreamz-Deluxe-13-cm-370x444.jpg;1
PetiteKnit Zipper Jacket wzór dziewiarski;Włóczki;35.00;1;10;Opis produktu PetiteKnit Zipper Jacket wzór dziewiarski.;Krótki opis PetiteKnit Zipper Jacket wzór dziewiarski.;https://miedzydrutami.pl/wp-content/uploads/2024/09/PetiteKnit-Zipper-Jacket-370x444.jpg;1
Kolekcja 2409 Sandnes Garn pakiet wzorów;Włóczki;130.00;1;10;Opis produktu Kolekcja 2409 Sandnes Garn pakiet wzorów.;Krótki opis Kolekcja 2409 Sandnes Garn pakiet wzorów.;https://miedzydrutami.pl/wp-content/uploads/2024/08/Sandnes-Garn-Spencer-Sweater-2409-07-Ballerina-Chunky-Editionn-370x444.jpg;1
Kolekcja 2410 Sandnes Garn pakiet wzorów;Włóczki;80.00;1;10;Opis produktu Kolekcja 2410 Sandnes Garn pakiet wzorów.;Krótki opis Kolekcja 2410 Sandnes Garn pakiet wzorów.;https://miedzydrutami.pl/wp-content/uploads/2024/09/Sandnes-Garn-Polar-light-sweater-for-men-2410-06-1-370x444.webp;1
Kolekcja 2406 Sandnes Garn pakiet wzorów;Włóczki;60.00;1;10;Opis produktu Kolekcja 2406 Sandnes Garn pakiet wzorów.;Krótki opis Kolekcja 2406 Sandnes Garn pakiet wzorów.;https://miedzydrutami.pl/wp-content/uploads/2024/04/Sandnes-Garn-2406-02-Butterfly-Blanket-koc-1-370x444.jpg;1
Kolekcja 2402 Sandnes Garn pakiet wzorów;Włóczki;40.00;1;10;Opis produktu Kolekcja 2402 Sandnes Garn pakiet wzorów.;Krótki opis Kolekcja 2402 Sandnes Garn pakiet wzorów.;https://miedzydrutami.pl/wp-content/uploads/2024/02/wzor-fecile-kardigan-2402-1-ballerina-370x444.webp;1
Kolekcja 2405 Sandnes Garn pakiet wzorów;Włóczki;70.00;1;10;Opis produktu Kolekcja 2405 Sandnes Garn pakiet wzorów.;Krótki opis Kolekcja 2405 Sandnes Garn pakiet wzorów.;https://miedzydrutami.pl/wp-content/uploads/2024/03/Minnie_Dress_Junior_2405_02-370x444.jpg;1
Kolekcja 2404 Sandnes Garn pakiet wzorów;Włóczki;100.00;1;10;Opis produktu Kolekcja 2404 Sandnes Garn pakiet wzorów.;Krótki opis Kolekcja 2404 Sandnes Garn pakiet wzorów.;https://miedzydrutami.pl/wp-content/uploads/2024/03/sandnes-garn-wzory-2404-08-370x444.webp;1
Kolekcja 2403 Sandnes Garn pakiet wzorów;Włóczki;130.00;1;10;Opis produktu Kolekcja 2403 Sandnes Garn pakiet wzorów.;Krótki opis Kolekcja 2403 Sandnes Garn pakiet wzorów.;https://miedzydrutami.pl/wp-content/uploads/2024/02/sandnes-garn-kolekacja-2403-05-370x444.webp;1
Kleiva Man Sweater 2410-05 wzór na druty z włóczką;Włóczki;182.20;1;10;Opis produktu Kleiva Man Sweater 2410-05 wzór na druty z włóczką.;Krótki opis Kleiva Man Sweater 2410-05 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/09/Sandnes-Garn-Kleiva-Man-Sweater-2410-05-370x444.webp;1
Kleiva Cardigan 2410-08 wzór na druty z włóczką;Włóczki;182.20;1;10;Opis produktu Kleiva Cardigan 2410-08 wzór na druty z włóczką.;Krótki opis Kleiva Cardigan 2410-08 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/09/Sandnes-Garn-Kleiva-Cardigan-2410-08-370x444.webp;1
Guzik drewniany 1 szt.;Włóczki;4.00;1;10;Opis produktu Guzik drewniany 1 szt..;Krótki opis Guzik drewniany 1 szt..;https://miedzydrutami.pl/wp-content/uploads/2024/09/Guziki-drewniane-60868-370x444.jpg;1
Polar-light Ladies Sweater 2410-07 wzór na druty z włóczką;Włóczki;214.00;1;10;Opis produktu Polar-light Ladies Sweater 2410-07 wzór na druty z włóczką.;Krótki opis Polar-light Ladies Sweater 2410-07 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/09/Sandnes-Garn-Polar-light-ladies-sweater-2410-07-370x444.webp;1
Polar-light Sweater Man 2410-06 wzór na druty z włóczką;Włóczki;253.80;1;10;Opis produktu Polar-light Sweater Man 2410-06 wzór na druty z włóczką.;Krótki opis Polar-light Sweater Man 2410-06 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/09/Sandnes-Garn-Polar-light-sweater-for-men-2410-06-370x444.webp;1
Guziki drewniane w kształcie kołka 1 szt.;Włóczki;5.50;1;10;Opis produktu Guziki drewniane w kształcie kołka 1 szt..;Krótki opis Guziki drewniane w kształcie kołka 1 szt..;https://miedzydrutami.pl/wp-content/uploads/2024/09/Guzik-drewniany-kolek-1-370x444.jpg;1
PetiteKnit Weekend Slipover V-Neck wzór na druty;Włóczki;35.00;1;10;Opis produktu PetiteKnit Weekend Slipover V-Neck wzór na druty.;Krótki opis PetiteKnit Weekend Slipover V-Neck wzór na druty.;https://miedzydrutami.pl/wp-content/uploads/2024/09/PetiteKnit-Weekend-Slipover-V-neck--370x444.jpg;1
Guzik z rogu bawolego 50 mm 1 szt.;Włóczki;19.00;1;10;Opis produktu Guzik z rogu bawolego 50 mm 1 szt..;Krótki opis Guzik z rogu bawolego 50 mm 1 szt..;https://miedzydrutami.pl/wp-content/uploads/2024/09/Guzik-drewniany-kolek-wygiety-rog-570-brazowy-370x444.jpg;1
Kleiva Ladies Sweater 2410-04 wzór na druty z włóczką;Włóczki;182.20;1;10;Opis produktu Kleiva Ladies Sweater 2410-04 wzór na druty z włóczką.;Krótki opis Kleiva Ladies Sweater 2410-04 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/09/Sandnes-Garn-Kleiva-Ladies-Sweater-2410-04-370x444.webp;1
Fun Chunky Marius 2410-01 wzór z włóczką;Włóczki;625.80;1;10;Opis produktu Fun Chunky Marius 2410-01 wzór z włóczką.;Krótki opis Fun Chunky Marius 2410-01 wzór z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/09/Sandnes-Garn-Fun-Chunky-Marius-Sweater-2410-01-370x444.webp;1
Marius Sweater Man 2410-03 wzór z włóczką;Włóczki;286.70;1;10;Opis produktu Marius Sweater Man 2410-03 wzór z włóczką.;Krótki opis Marius Sweater Man 2410-03 wzór z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/09/Sandnes-Garn-Marius-Sweater-For-A-Man-2410-03-370x444.webp;1
Marius Ladies Sweater 2410-02 wzór z włóczką;Włóczki;286.70;1;10;Opis produktu Marius Ladies Sweater 2410-02 wzór z włóczką.;Krótki opis Marius Ladies Sweater 2410-02 wzór z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/09/Sandnes-Garn-Marius-Ladies-Sweater-2410-02-1-370x444.webp;1
Torba Vadso Muud OUTLET;Włóczki;350.00;1;10;Opis produktu Torba Vadso Muud OUTLET.;Krótki opis Torba Vadso Muud OUTLET.;https://miedzydrutami.pl/wp-content/uploads/2023/04/Vadso-muud-torba-370x444.jpg;1
Wydruk e-book;Włóczki;35.00;1;10;Opis produktu Wydruk e-book.;Krótki opis Wydruk e-book.;https://miedzydrutami.pl/wp-content/uploads/2024/09/profesjonalny-wydruk-e-book-370x444.jpg;1
Pascuali Pinta ręcznie farbowana roślinami 50 g;Włóczki;75.00;1;10;Opis produktu Pascuali Pinta ręcznie farbowana roślinami 50 g.;Krótki opis Pascuali Pinta ręcznie farbowana roślinami 50 g.;https://miedzydrutami.pl/wp-content/uploads/2024/09/MeadowYarnArt-Pinta-modrzejec-370x444.jpg;1
Cornelia Cardigan 2409-08 wzór na druty z włóczką;Włóczki;366.00;1;10;Opis produktu Cornelia Cardigan 2409-08 wzór na druty z włóczką.;Krótki opis Cornelia Cardigan 2409-08 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/08/Sandnes-Garn-Cornelia-Cardigan-2409-08-370x444.webp;1
Cornelia Sweater 2409-05 wzór na druty z włóczką;Włóczki;525.00;1;10;Opis produktu Cornelia Sweater 2409-05 wzór na druty z włóczką.;Krótki opis Cornelia Sweater 2409-05 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/08/Sandnes-Garn-Cornelia-Sweater-2409-05-1-370x444.webp;1
Magazyn PUCH. numer 2;Włóczki;30.00;1;10;Opis produktu Magazyn PUCH. numer 2.;Krótki opis Magazyn PUCH. numer 2.;https://miedzydrutami.pl/wp-content/uploads/2024/09/Maazyn-Puch-nr-2-370x444.jpg;1
Agnes Cardigan 2409-10 wzór na druty z włóczką;Włóczki;341.00;1;10;Opis produktu Agnes Cardigan 2409-10 wzór na druty z włóczką.;Krótki opis Agnes Cardigan 2409-10 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/08/Sandnes-Garn-Agnes-Cardigan-2409-10-370x444.webp;1
Sammy Sweater 2409-02 wzór na druty z włóczką;Włóczki;365.00;1;10;Opis produktu Sammy Sweater 2409-02 wzór na druty z włóczką.;Krótki opis Sammy Sweater 2409-02 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/08/Sandnes-Garn-Sammy-Sweater-2409-02-370x444.webp;1
South Sweater 2409-09 wzór na druty z włóczką;Włóczki;425.00;1;10;Opis produktu South Sweater 2409-09 wzór na druty z włóczką.;Krótki opis South Sweater 2409-09 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/08/Sandnes-Garn-South-Sweater-2409-09-3-370x444.webp;1
Scarlett Cardigan 2409-12 wzór na druty z włóczką;Włóczki;510.00;1;10;Opis produktu Scarlett Cardigan 2409-12 wzór na druty z włóczką.;Krótki opis Scarlett Cardigan 2409-12 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/08/Sandnes-Garn-Scarlett-Cardigan-2409-12-370x444.webp;1
Penny Cardigan 2409-03 wzór na druty z włóczką;Włóczki;524.00;1;10;Opis produktu Penny Cardigan 2409-03 wzór na druty z włóczką.;Krótki opis Penny Cardigan 2409-03 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/08/Sandnes-Garn-Peeny-Cardigan-2409-03-370x444.webp;1
Heather Sweater Cable Edition 2409-13 wzór na druty z włóczką;Włóczki;442.00;1;10;Opis produktu Heather Sweater Cable Edition 2409-13 wzór na druty z włóczką.;Krótki opis Heather Sweater Cable Edition 2409-13 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/08/Sandnes-Garn-Heather-Sweater-2409-13-370x444.webp;1
Bonnie Dress 2409-11 wzór na druty z włóczką;Włóczki;755.00;1;10;Opis produktu Bonnie Dress 2409-11 wzór na druty z włóczką.;Krótki opis Bonnie Dress 2409-11 wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/08/Sandnes-Garn-Bonnie-Dress-2409-11-1-370x444.webp;1
PetiteKnit Maude Tee wzór na druty;Włóczki;35.00;1;10;Opis produktu PetiteKnit Maude Tee wzór na druty.;Krótki opis PetiteKnit Maude Tee wzór na druty.;https://miedzydrutami.pl/wp-content/uploads/2024/08/PetiteKnit-Maude-Tee-370x444.jpg;1
PetiteKnit Amy Sweater wzór na druty;Włóczki;35.00;1;10;Opis produktu PetiteKnit Amy Sweater wzór na druty.;Krótki opis PetiteKnit Amy Sweater wzór na druty.;https://miedzydrutami.pl/wp-content/uploads/2024/08/PetiteKnit-Amy-Sweater-370x444.jpg;1
